PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,New England,2003,40,0.572031,0.471078,14,X,27,40,X,5,86,87,18256
Census Regions,West North Central,2003,40,0.909876,0.938268,24,X,43,51,X,8,126,77,13429
Census Regions,New England,2003,41,0.449279,0.406858,6,X,35,35,X,8,84,88,20646
Census Regions,West North Central,2003,41,1.37954,1.30228,38,X,61,78,X,17,194,83,14897
Census Regions,New England,2003,42,0.613789,0.558283,19,X,32,60,X,5,116,92,20778
Census Regions,West North Central,2003,42,1.26456,1.22066,38,X,49,66,X,42,195,87,15975
Census Regions,New England,2003,43,0.66117,0.567291,32,X,33,56,X,2,123,87,21682
Census Regions,West North Central,2003,43,1.46379,1.32921,49,X,59,81,X,39,228,88,17153
Census Regions,New England,2003,44,0.760914,0.727021,31,X,38,74,X,25,168,91,23108
Census Regions,West North Central,2003,44,1.02779,1.05609,55,X,48,80,X,10,193,95,18275
Census Regions,New England,2003,45,0.877168,0.79969,24,X,50,93,X,19,186,94,23259
Census Regions,West North Central,2003,45,0.96691,1.07171,61,X,40,92,X,8,201,98,18755
Census Regions,New England,2003,46,0.944299,0.883777,47,X,62,73,X,17,199,94,22517
Census Regions,West North Central,2003,46,1.43376,1.53612,74,X,71,146,X,12,303,99,19725
Census Regions,New England,2003,47,1.35565,1.21994,43,X,83,126,X,23,275,96,22542
Census Regions,West North Central,2003,47,1.49153,1.64205,63,X,77,156,X,12,308,92,18757
Census Regions,New England,2003,48,1.81206,1.6068,42,X,83,97,X,37,259,96,16119
Census Regions,West North Central,2003,48,4.10142,4.23402,151,X,136,242,X,42,571,95,13486
Census Regions,New England,2003,49,2.36008,2.26041,97,X,114,308,X,44,563,100,24907
Census Regions,West North Central,2003,49,4.92009,5.06353,288,X,235,509,X,48,1080,96,21329
Census Regions,New England,2003,50,5.2467,4.81166,135,X,172,851,X,67,1225,104,25459
Census Regions,West North Central,2003,50,9.21076,10.0888,732,X,301,1037,X,66,2136,98,21172
Census Regions,New England,2003,51,6.41499,6.32986,326,X,288,785,X,102,1501,107,23713
Census Regions,West North Central,2003,51,8.50979,8.42346,488,X,277,628,X,79,1472,94,17475
Census Regions,New England,2003,52,6.65924,6.71841,321,X,277,426,X,110,1134,104,16879
Census Regions,West North Central,2003,52,8.58956,9.57776,469,X,181,388,X,44,1082,91,11297
Census Regions,New England,2003,53,4.92807,4.98101,269,X,310,273,X,79,931,108,18691
