PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,West North Central,2003,40,0.909876,0.938268,24,X,43,51,X,8,126,77,13429
Census Regions,West North Central,2003,41,1.37954,1.30228,38,X,61,78,X,17,194,83,14897
Census Regions,West North Central,2003,42,1.26456,1.22066,38,X,49,66,X,42,195,87,15975
Census Regions,West North Central,2003,43,1.46379,1.32921,49,X,59,81,X,39,228,88,17153
Census Regions,West North Central,2003,44,1.02779,1.05609,55,X,48,80,X,10,193,95,18275
Census Regions,West North Central,2003,45,0.96691,1.07171,61,X,40,92,X,8,201,98,18755
Census Regions,West North Central,2003,46,1.43376,1.53612,74,X,71,146,X,12,303,99,19725
Census Regions,West North Central,2003,47,1.49153,1.64205,63,X,77,156,X,12,308,92,18757
Census Regions,West North Central,2003,48,4.10142,4.23402,151,X,136,242,X,42,571,95,13486
Census Regions,West North Central,2003,49,4.92009,5.06353,288,X,235,509,X,48,1080,96,21329
Census Regions,West North Central,2003,50,9.21076,10.0888,732,X,301,1037,X,66,2136,98,21172
Census Regions,West North Central,2003,51,8.50979,8.42346,488,X,277,628,X,79,1472,94,17475
Census Regions,West North Central,2003,52,8.58956,9.57776,469,X,181,388,X,44,1082,91,11297
Census Regions,West North Central,2003,53,3.78161,3.73804,131,X,180,151,X,50,512,95,13697
Census Regions,West North Central,2004,1,2.66811,1.96682,127,X,86,101,X,18,332,99,16880
Census Regions,West North Central,2004,2,1.47719,1.27594,88,X,55,84,X,6,233,102,18261
Census Regions,West North Central,2004,3,1.42113,1.34252,84,X,39,98,X,9,230,101,17132
Census Regions,West North Central,2004,4,1.11821,1.0441,66,X,41,71,X,5,183,101,17527
Census Regions,West North Central,2004,5,0.876206,0.863031,45,X,39,52,X,11,147,100,17033
Census Regions,West North Central,2004,6,0.856925,0.887871,41,X,64,49,X,5,159,98,17908
Census Regions,West North Central,2004,7,0.761364,0.819296,38,X,48,52,X,5,143,97,17454
Census Regions,West North Central,2004,8,0.660745,0.719719,32,X,45,44,X,2,123,92,17090
Census Regions,West North Central,2004,9,0.655844,0.708339,25,X,42,41,X,6,114,91,16094
Census Regions,West North Central,2004,10,0.732089,0.814975,38,X,40,46,X,4,128,91,15706
Census Regions,West North Central,2004,11,0.418064,0.474995,16,X,28,22,X,4,70,87,14737
Census Regions,West North Central,2004,12,0.554883,0.578839,23,X,31,23,X,2,79,91,13648
Census Regions,West North Central,2004,13,0.269776,0.309373,17,X,14,13,X,3,47,84,15192
Census Regions,West North Central,2004,14,0.378123,0.371539,22,X,13,18,X,0,53,84,14265
Census Regions,West North Central,2004,15,0.445761,0.400334,15,X,12,19,X,2,48,73,11990
Census Regions,West North Central,2004,16,0.27549,0.224359,9,X,10,9,X,0,28,74,12480
Census Regions,West North Central,2004,17,0.373389,0.313707,17,X,11,6,X,5,39,75,12432
Census Regions,West North Central,2004,18,0.695445,0.601641,26,X,18,19,X,3,66,71,10970
Census Regions,West North Central,2004,19,0.539717,0.424589,14,X,18,14,X,0,46,70,10834
Census Regions,West North Central,2004,20,0.476507,0.405139,11,X,14,9,X,1,35,60,8639
Census Regions,West North Central,2004,21,0.569636,0.754236,28,X,22,18,X,9,77,64,10209
Census Regions,West North Central,2004,22,0.445552,0.834356,21,X,16,10,X,21,68,50,8150
Census Regions,West North Central,2004,23,1.84057,1.55521,55,X,45,47,X,13,160,52,10288
Census Regions,West North Central,2004,24,0.321655,0.487755,10,X,15,12,X,11,48,49,9841
Census Regions,West North Central,2004,25,0.584455,0.806959,20,X,28,16,X,13,77,48,9542
Census Regions,West North Central,2004,26,0.44283,0.772366,21,X,20,14,X,17,72,47,9322
Census Regions,West North Central,2004,27,0.250172,0.616555,12,X,10,10,X,15,47,43,7623
Census Regions,West North Central,2004,28,0.435856,0.658179,10,X,20,17,X,14,61,48,9268
Census Regions,West North Central,2004,29,0.437571,0.569801,14,X,12,19,X,9,54,48,9477
Census Regions,West North Central,2004,30,0.495218,0.742009,18,X,18,19,X,10,65,45,8760
Census Regions,West North Central,2004,31,0.644688,0.872475,12,X,31,21,X,9,73,45,8367
Census Regions,West North Central,2004,32,0.515769,0.835476,28,X,24,18,X,8,78,43,9336
Census Regions,West North Central,2004,33,0.553571,0.792411,19,X,23,20,X,9,71,42,8960
Census Regions,West North Central,2004,34,0.572913,0.687319,13,X,26,23,X,7,69,45,10039
Census Regions,West North Central,2004,35,0.450751,0.638476,18,X,18,16,X,9,61,42,9554
Census Regions,West North Central,2004,36,0.545443,1.03227,26,X,28,28,X,13,95,44,9203
Census Regions,West North Central,2004,37,0.508337,1.02865,31,X,39,24,X,13,107,44,10402
Census Regions,West North Central,2004,38,0.568451,1.03037,26,X,32,27,X,11,96,38,9317
Census Regions,West North Central,2004,39,0.928776,1.11044,25,X,41,31,X,13,110,45,9906
Census Regions,West North Central,2004,40,0.687848,0.765741,41,X,59,67,X,17,184,112,24029
Census Regions,West North Central,2004,41,0.738235,0.792642,58,X,47,71,X,11,187,110,23592
Census Regions,West North Central,2004,42,0.815167,0.851736,45,X,66,92,X,18,221,114,25947
Census Regions,West North Central,2004,43,0.673247,0.787466,55,X,61,59,X,18,193,113,24509
Census Regions,West North Central,2004,44,0.859933,0.89715,51,X,63,106,X,17,237,118,26417
Census Regions,West North Central,2004,45,0.936017,0.986201,86,X,50,90,X,22,248,117,25147
Census Regions,West North Central,2004,46,0.932362,0.946932,50,X,69,101,X,15,235,116,24817
